BUS_NODE_ID|BUS_NODE_NM|ARO_BUSSTOP_ID|ARO_NM|BUSSTOP_ID|BUSSTOP_NM|ETL_TYPE|ETL_DATE,,,
8002575|제이파크아파트|40090|제이파크아파트|3051998900|제이파크아파트|0602|2019-12-30 02:43:03,,,
8002578|제일사료|50420|제일사료|3051274500|제일사료|0602|2019-12-30 02:43:03,,,
8002580|삼육중학교입구|30620|삼육중학교입구|3001187900|삼육중학교입구|0602|2019-12-30 02:43:03,,,
8002582|도마중학교|30500|도마중학교|3001274600|도마중학교|0602|2019-12-30 02:43:03,,,
8002584|용화5길입구|30630|용화5길입구|3001274800|용화5길입구|0602|2019-12-30 02:43:03,,,
8002586|조동1리|72260|조동1리|3001275100|조동1리|0602|2019-12-30 02:43:03,,,
8002588|주산동/상촌|12800|주산동/상촌|3011275400|주산동/상촌|0602|2019-12-30 02:43:03,,,
8002590|주촌1구|13380|주촌1구|3021275600|주촌1구|0602|2019-12-30 02:43:03,,,
8002592|주촌2구|13340|주촌2구|3021275800|주촌2구|0602|2019-12-30 02:43:03,,,
8002594|주촌동|13360|주촌동|3021276000|주촌동|0602|2019-12-30 02:43:03,,,
8002596|죽동네거리|42000|죽동네거리|3051276200|죽동네거리|0602|2019-12-30 02:43:03,,,
8002600|중구보건소|21860|중구보건소|3001276600|중구보건소|0602|2019-12-30 02:43:03,,,
8002602|중구청|20630|중구청|3001276800|중구청|0602|2019-12-30 02:43:03,,,
8002605|중구청역|20170|중구청역|3021115900|중구청역|0602|2019-12-30 02:43:03,,,
8002608|중리네거리|51420|중리네거리|3061277200|중리네거리|0602|2019-12-30 02:43:03,,,
8002610|중리근린공원|51350|중리근린공원|3061277500|중리근린공원|0602|2019-12-30 02:43:03,,,
8002612|중리근린공원|51330|중리근린공원|3061277700|중리근린공원|0602|2019-12-30 02:43:03,,,
8002614|중리동주민센터|51360|중리동주민센터|3061277800|중리동주민센터|0602|2019-12-30 02:43:03,,,
8002616|중리시장|51070|중리시장|3061179500|중리시장|0602|2019-12-30 02:43:03,,,
8002618|중리지구대|51280|중리지구대|3061278100|중리지구대|0602|2019-12-30 02:43:03,,,
8002621|삼성동행정복지센터|12230|삼성동행정복지센터|3001278600|삼성동행정복지센터|0602|2019-12-30 02:43:03,,,
8002623|중세동|40720|중세동|3061278800|중세동|0602|2019-12-30 02:43:03,,,
8002625|판암테크노타운|10770|판암테크노타운|3011405500|판암테크노타운|0602|2019-12-30 02:43:03,,,
8002627|중앙로역1번출구|20040|중앙로역1번출구|3021261700|중앙로역1번출구|0602|2019-12-30 02:43:03,,,
8002629|중앙로역4번출구|20720|중앙로역4번출구|3021279200|중앙로역4번출구|0602|2019-12-30 02:43:03,,,
8002631|중앙로역6번출구|20310|중앙로역6번출구|3021249600|중앙로역6번출구|0602|2019-12-30 02:43:03,,,
8002633|중앙로역8번출구|20010|중앙로역8번출구|3021261600|중앙로역8번출구|0602|2019-12-30 02:43:03,,,
8002757|큰마을아파트|31970|큰마을아파트|3001291800|큰마을아파트|0602|2019-12-30 02:43:03,,,
8002759|탄방동주민센터|31210|탄방동주민센터|3001292000|탄방동주민센터|0602|2019-12-30 02:43:03,,,
8002761|탄방주공아파트|31220|탄방주공아파트|3001292100|탄방주공아파트|0602|2019-12-30 02:43:03,,,
8002763|탄방중학교|32610|탄방중학교|3001170300|탄방중학교|0602|2019-12-30 02:43:03,,,
8002765|탑립동|44330|탑립동|3051808300|탑립동|0602|2019-12-30 02:43:03,,,
8002767|탑립1통|44290|탑립1통|3051292500|탑립1통|0602|2019-12-30 02:43:03,,,
8002769|탑립1통산의절|44310|탑립1통산의절|3051400800|탑립1통산의절|0602|2019-12-30 02:43:03,,,
8002776|탑립육교|44410|탑립육교|3051293100|탑립육교|0602|2019-12-30 02:43:03,,,
8002778|태평1동주민센터|21550|태평1동주민센터|3021293300|태평1동주민센터|0602|2019-12-30 02:43:03,,,
8001001|대덕우체국네거리|51870|대덕우체국네거리|3061803200|대덕우체국네거리|0602|2019-12-30 02:43:03,,,
8001003|가는골|12750|가는골|3011100200|가는골|0602|2019-12-30 02:43:03,,,
8001005|가람아파트|32650|가람아파트|3001100400|가람아파트|0602|2019-12-30 02:43:03,,,
8001007|가목정마을|14010|가목정마을|3011301400|가목정마을|0602|2019-12-30 02:43:03,,,
8001009|가수원네거리|33200|가수원네거리|3021905300|가수원네거리|0602|2019-12-30 02:43:03,,,
8001012|가수원시장|33140|가수원시장|3001101000|가수원시장|0602|2019-12-30 02:43:03,,,
8001014|가수원파출소|33100|가수원파출소|3001101200|가수원파출소|0602|2019-12-30 02:43:03,,,
8001018|가수원도서관|33020|가수원도서관|3001101600|가수원도서관|0602|2019-12-30 02:43:03,,,
8001024|린풀하우스|33060|린풀하우스|3021807700|린풀하우스|0602|2019-12-30 02:43:03,,,
8001026|가수원역|33180|가수원역|3001102000|가수원역|0602|2019-12-30 02:43:03,,,
8001028|가수원육교.가수원시장|33040|가수원육교.가수원시장|3001102200|가수원육교.가수원시장|0602|2019-12-30 02:43:03,,,
8001030|가수원중학교|33130|가수원중학교|3001102400|가수원중학교|0602|2019-12-30 02:43:03,,,
8001032|가양비래공원|51640|가양비래공원|3061102700|가양비래공원|0602|2019-12-30 02:43:03,,,
8001034|가양네거리|11580|가양네거리|3001102800|가양네거리|0602|2019-12-30 02:43:03,,,
8001036|가양네거리|11550|가양네거리|3001103000|가양네거리|0602|2019-12-30 02:43:03,,,
8001038|석촌마을아파트|12020|석촌마을아파트|3001103100|석촌마을아파트|0602|2019-12-30 02:43:03,,,
8001040|가양지구대|11570|가양지구대|3001102600|가양지구대|0602|2019-12-30 02:43:03,,,
8001042|동구청|10390|동구청|3001806700|동구청|0602|2019-12-30 02:43:03,,,
8001044|가오동|10300|가오동|3011103900|가오동|0602|2019-12-30 02:43:03,,,
8001553|동춘당|50960|동춘당|3061159100|동춘당|0602|2019-12-30 02:43:03,,,
8001555|관평중학교|44560|관평중학교|3051898600|관평중학교|0602|2019-12-30 02:43:03,,,
8001557|계룡과선교|45980|계룡과선교|3061159700|계룡과선교|0602|2019-12-30 02:43:03,,,
8001559|계룡과선교|40990|계룡과선교|3061174700|계룡과선교|0602|2019-12-30 02:43:03,,,
8001561|둔곡동|45160|둔곡동|3051161000|둔곡동|0602|2019-12-30 02:43:03,,,
8001563|둔곡동새마을회관|45140|둔곡동새마을회관|3051161200|둔곡동새마을회관|0602|2019-12-30 02:43:03,,,
8001565|둔산2동주민센터|32230|둔산2동주민센터|3001161400|둔산2동주민센터|0602|2019-12-30 02:43:03,,,
